OBJECTID;Name;Address;Postcode;Ward;Toilet opening hours;Male (no. of);Urinals (no. of);Female (no. of);Unisex (no.of);Accessible (no. of);Accessibility info;Changing Place;Automatic opening door;Pull cord monitored (Y/N/Times);Radar Key;Baby change;Family Toilet;Automatic Public Convenience;Attended;Full Time Staffing;geo_shape;geo_point_2d
5171;The Lounge;227-231 North Street, Bedminster, Bristol;BS3 1JJ;Southville;Monday-Sunday 9am to 11pm;;;;;1;YES;N;;;;;;;;;"{""type"": ""Point"", ""coordinates"": [-2.612137190925094, 51.44114172692029]}";51.4411417269,-2.61213719093
50;Broadwalk Shopping Centre;Broadwalk, Knowle, Bristol;BS4 2QU;Knowle;Monday-Thursday 08:00-18:30, Friday 08:00-19:30, Saturday 08:00-18:00, Sunday 10:00-16:00;2;3;5;;1;YES - Radar key. If you don't have a radar key, push bell;N;N;Yes- during opening hours;Y;Y;N;N;;N;"{""type"": ""Point"", ""coordinates"": [-2.568008447002875, 51.43441618454373]}";51.4344161845,-2.568008447
57;Barton Hill Settlement;"41-43 Ducie Road,
BS5 0AX";BS5 0AX;Lawrence Hill;Monday - Friday 9:00 - 16:00;2;;2;0;2;YES- toilet height 48cm, cubicle size 150cmx 210cm, contrasting walls and floor, hand rails, mirror;N;N;Yes- during open time;N;Y;N;N;Y;Y;"{""type"": ""Point"", ""coordinates"": [-2.563673920261683, 51.4562508458724]}";51.4562508459,-2.56367392026
76;A4 Brislington Park and Ride;Brislington Park And Ride, Stockwood Road, Brislington, Bristol;BS4 5ZZ;Brislington West;Monday-Friday 6:30am to 9:30pm, Saturday 7:30am to 8pm, Sunday - Closed;2;;2;;1;YES, Door width 90cm, Cubical size 140x160cm, Seat Height 44cm;N;N;None;N;N;N;N;;N;"{""type"": ""Point"", ""coordinates"": [-2.537089229279438, 51.42790815644965]}";51.4279081564,-2.53708922928
612;The Park, Daventry Road;Daventry Road, Knowle, Bristol;BS4 1DQ;Knowle;Monday-Friday 7:00-22.00, Saturday-Sunday 9:00-16:00;1;;3;;1;YES - Support rail moveable, door width 95cm, cubical size 220 x 242cm, height of seat 50cm, non reflecting wall, non slip floor;;;;;Y;;;;;"{""type"": ""Point"", ""coordinates"": [-2.581461120489529, 51.429726359904905]}";51.4297263599,-2.58146112049
158;JD Weatherspoon - The Robert Fitzharding;"The Robert Fitzharding, 24 Cannon St, Bedminster,
BS3 1BN";BS3 1BN;Southville;Sunday- Thursday 08:00- 00:00 Friday and Saturday 08:00 - 01:00;5;4;6;;1;YES - Door: 95cm, Cubical: 200x160cm, Seat height: 44cm, Handrails.;N;N;Y during open times;Y;Y;N;N;Y;Y;"{""type"": ""Point"", ""coordinates"": [-2.600867876050232, 51.44118487535374]}";51.4411848754,-2.60086787605
59;Tesco - Golden Hill;"Golden Hill, Lime Trees Road,
BS6 7XW";BS6 7XW;Westbury-on-Trym & Henleaze;Monday-Saturday 08:00-22:00, Sunday 10:00-16:00;1;2;2;;1;YES - Movable handrails. Cubical size 150-170cm. Seat height 48cm.;N;N;Y - During open times;N;Y;N;N;Y;Y;"{""type"": ""Point"", ""coordinates"": [-2.5961679067528323, 51.48572643326488]}";51.4857264333,-2.59616790675
70;Morrison's - Hartcliffe;Hareclive Rd, Petersons Avenue, Hartcliffe;BS14 0BE;Hartcliffe & Withywood;7am - 10pm;2;3;3;;1;YES - Cubical size 140-200cm. Seat Height 48cm. handrails.;N;;Y during open hours;N;Y;N;N;Y;Y;"{""type"": ""Point"", ""coordinates"": [-2.5996336101119333, 51.40520214658621]}";51.4052021466,-2.59963361011
44;Redcatch Park Public Conveniences;Broad Walk, Knowle, Bristol;BS4 2RA;Knowle;7.00 until 16.30 winter - 20.00 summer hours, excluding Christmas Day;2;1;2;;1;YES - Support rail mobile door 80cm, 175x100cm cubical, seat 47cm, non reflective wall, non slip floor, accessible lock;N;N;no;Y;N;N;N;N;N;"{""type"": ""Point"", ""coordinates"": [-2.571934048043754, 51.434003894454065]}";51.4340038945,-2.57193404804
2754;St George's Bristol;Great George Street (off Park Street), Bristol;BS1 5RR;Hotwells & Harbourside;Monday-Sunday 10:00 to 18:00;;;;;1;YES;;;;;;;;;;"{""type"": ""Point"", ""coordinates"": [-2.6037355733961993, 51.45422673788542]}";51.4542267379,-2.6037355734
625;Canford Cemetery and Crematorium;Canford Lane, Westbury-on-Trym, Bristol;BS9 3PQ;Westbury-on-Trym & Henleaze;Monday-Friday 09:00-16:00, weekends and bank holidays 11:00-16:00;0;0;0;1;1;YES - Support rail moveable, door 85cm, cubicle 200 x 220cm, seat height 53cm, mirror, colour contrast skirting, non reflective wall, non-slip floor;N;N;Yes. During opening hours;N;N;N;N;N;Y;"{""type"": ""Point"", ""coordinates"": [-2.6270007852333412, 51.49437631576133]}";51.4943763158,-2.62700078523
