NAME,DESCRIPTION,ADDRESS1,ADDRESS2,ADDRESS3,CITY,POSTCODE,COUNTRY,LAT,LNG,VENUE_STATUS,BUSINESS_TYPE,TOILET,WHEELCHAIR_ACCESS,PHONE_PRIMARY,PHONE_SECONDARY,EMAIL_PRIMARY,EMAIL_SECONDARY,WEBSITE,FACEBOOK,TWITTER,OPENING_HOURS,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THU_OPEN,THU_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,PRODUCT_LOCATION,STOCK
William Budd Health Centre,,William Budd Health Centre 2 Knowle West Health Park Downton Road Bristol,,,,BS4 1WH,United Kingdom,358613,170058,"Pending, Verified, Closed",school/library,,,,,,,,,,,8:30,18:30,8:30,18:30,8:30,18:30,8:30,18:30,8:30,18:30,,,,,,true/false
Knowle West Children's Centre,,Knowle West Childrens Centre Leinster Avenue Bristol,,,,BS4 1NN,United Kingdom,358734,169762,,,,,,,,,,,,,12:00,18:00,12:00,18:00,12:00,18:00,12:00,18:00,12:00,18:00,12:00,18:00,12:00,18:00,,
Filwood Community Centre,,Filwood Community Centre Barnstaple Road Bristol,,,,BS4 1JP,United Kingdom,359364,169783,,,,,,,,,,,,,9:00,21:00,9:00,21:00,9:00,21:00,9:00,21:00,9:00,0:00,9:00,0:00,9:00,22:00,,
Filwood Library,,Filwood Library Filwood Broadway Bristol,,,,BS4 1JN,United Kingdom,359365,169558,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle House Community Centre,,Eagle House Newquay Road Bristol,,,,BS4 1EF,United Kingdom,359837,169670,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle House Youth Club,,Eagle House Newquay Road Bristol,,,,BS4 1EF,United Kingdom,359823,169696,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpenters Food and Support,,Withywood Centre Queens Road Bishopsworth Bristol,,,,BS13 8QA,United Kingdom,356837,167831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatehouse Avenue Club for Young People,,Hartcliffe Club For Young People Gatehouse Avenue Bristol,,,,BS13 9AE,United Kingdom,357451,168185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gatehouse Centre,,The Gatehouse Centre Hareclive Road Bristol,,,,BS13 9JN,United Kingdom,357593,168340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hareclive Youth Centre,,Hareclive Youth Centre Moxham Drive Bristol,,,,BS13 0HP,United Kingdom,358155,167729,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartcliffe Children's Centre,,Hartcliffe Early Years Centre Hareclive Road Bristol,,,,BS13 0JW,United Kingdom,358197,167758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartcliffe Library,,Hartcliffe Library Peterson Avenue Bristol,,,,BS13 0BE,United Kingdom,358478,167458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symes House,,Social Services And Health Symes House Peterson Square Bristol,,,,BS13 0EE,United Kingdom,358431,167458,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartcliffe Health Centre,,Hartcliffe Health Centre Hareclive Road Bristol,,,,BS13 0JP,United Kingdom,358265,167790,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grange Road Surgery,,24 Grange Road Bishopsworth Bristol,,,,BS13 8LD,United Kingdom,357014,168379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redhouse Office,,Redhouse Social Services And Health Heggard Close Bristol,,,,BS13 7SE,United Kingdom,357208,168298,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bannerman Road Children's Centre,,Bannerman Road Childrens Centre Bannerman Road Bristol,,,,BS5 0RR,United Kingdom,360822,174143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton Leisure Centre,,Easton Leisure Centre Thrissell Street Bristol,,,,BS5 0SW,United Kingdom,360220,173573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Road Adventure Playground,,Felix Road Adventure Playground Felix Road Bristol,,,,BS5 0JW,United Kingdom,360630,173960,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mill Youth Centre,,The Mill Youth Centre Lower Ashley Road Easton Bristol,,,,BS5 0YJ,United Kingdom,360331,174280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosemary Early Years Centre,,Rosemary Early Years Centre Haviland House Great Ann Street Bristol,,,,BS2 0DT,United Kingdom,359776,173348,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Centre,,The Trinity Centre Trinity Road Bristol,,,,BS2 0NW,United Kingdom,360078,173386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Hill Health Centre,,Lawrence Hill Health Centre Hassell Drive Bristol,,,,BS2 0AN,United Kingdom,360341,173334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homeless Health Service,,New Street Day Centre 1 New Street Bristol,,,,BS2 9DX,United Kingdom,359637,173356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Keel Health Centre,,Charlotte Keel Health Clinic Seymour Road Easton Bristol,,,,BS5 0UA,United Kingdom,360381,174210,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tudor Road Outlet Foodbank,,The Church Of God Of Prophecy Tudor Road Easton Bristol,,,,BS5 6BW,United Kingdom,361137,174272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Marks Road Community Cafe,,St Marks Baptist Church St Marks Road Bristol,,,,BS5 6HX,United Kingdom,360861,174427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam Street Social Services Office,,Bristol Futures Academy Beam Street Bristol,,,,BS5 9QY,United Kingdom,361124,173070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Development Agency,,5 Russell Town Avenue Bristol,,,,BS5 9LT,United Kingdom,360967,173524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol Central Children's Care Office?,,Redfield Educate Together Primary Academy Avonvale Road Bristol,,,,BS5 9RH,United Kingdom,361527,173353,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton Community Children's Centre,,Easton Community Nursery School Russell Town Avenue Bristol,,,,BS5 9JF,United Kingdom,361049,173686,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilburn Street Community Centre,,Easton Community Centre Kilburn Street Bristol,,,,BS5 6AW,United Kingdom,361000,173794,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Limes Children's Centre,,The Limes Nursery School Johnsons Road Bristol,,,,BS5 9AT,United Kingdom,361534,174080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redfield House Child and Family Support Centre,,Redfield House Verrier Road Bristol,,,,BS5 9LH,United Kingdom,361400,173427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellspring Healthy Living Centre,,Wellspring Healthy Living Centre Beam Street Bristol,,,,BS5 9QY,United Kingdom,361088,173128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doncaster Road Adventure Playground,,Southmead Adventure Playground Doncaster Road Bristol,,,,BS10 5PP,United Kingdom,358211,177989,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmfield House Education Welfare Office,,Elmfield House Greystoke Avenue Bristol,,,,BS10 6AY,United Kingdom,357576,177768,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fonthill Centre,,Fonthill Training Centre Stanton Road Bristol,,,,BS10 5SJ,United Kingdom,359035,178575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenway Centre Foodbank,,Greenway Centre Doncaster Road Bristol,,,,BS10 5PY,United Kingdom,357790,177999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greystoke Avenue Public Toilets,,Public Conveniences Greystoke Avenue Bristol,,,,BS10 6AD,United Kingdom,358232,178372,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southmead/Badocks Wood Children's Centre Site,,Badocks Wood Children Centre Doncaster Road Bristol,,,,BS10 5PW,United Kingdom,358455,177833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southmead Community Centre,,248 Greystoke Avenue Bristol,,,,BS10 6BQ,United Kingdom,358394,178419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southmead House,,Southmead House Greystoke Avenue Bristol,,,,BS10 6BQ,United Kingdom,358477,178430,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southmead Library,,Southmead Library Greystoke Avenue Bristol,,,,BS10 6AS,United Kingdom,358185,178402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southmead Youth Club,,Southmead Youth Centre Greystoke Avenue Bristol,,,,BS10 6AS,United Kingdom,358174,178423,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southmead Health Centre,,Southmead Health Centre Ullswater Road Bristol,,,,BS10 6DF,United Kingdom,358343,178571,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenway Community Health Centre,,Greenway Community Practice Greystoke Avenue Bristol,,,,BS10 6AF,United Kingdom,357716,177999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Avonmouth Library, Community Centre & Youth Club",,Avonmouth Library Avonmouth Road Bristol,,,,BS11 9EN,United Kingdom,351609,178153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise Horticultural Centre,,Blaise Nursery Kings Weston Road Bristol,,,,BS11 0XF,United Kingdom,355316,178308,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotswold Community Centre,,Cotswold Community Association Dursley Road Bristol,,,,BS11 9XH,United Kingdom,353564,176482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cullimarsh / Ridingleaze District Office,,Ridingleaze House Ridingleaze Bristol,,,,BS11 0QE,United Kingdom,354346,178241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freshways Resource Centre,,Treetops Knovill Close Bristol,,,,BS11 0SA,United Kingdom,354670,178485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Weston Youth Club,,Lawrence Weston Youth Centre Long Cross Bristol,,,,BS11 0RX,United Kingdom,354725,178646,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nibley Road Sports and Social Club,,Social And Sports Club Nibley Road Bristol,,,,BS11 9XW,United Kingdom,353195,176150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Mills Community Centre,,Sea Mills Community Association Sunny Hill Bristol,,,,BS9 2NQ,United Kingdom,354991,177150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea Mills Library,,Sea Mills Library Sylvan Way Bristol,,,,BS9 2NA,United Kingdom,355025,177140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirehampton Library and Public Hall,,Shirehampton Library Station Road Shirehampton Bristol,,,,BS11 9TU,United Kingdom,353195,176650,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Road Public Toilets,,Public Conveniences Station Road Shirehampton Bristol,,,,BS11 9TT,United Kingdom,353284,176761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Road Signal Station (Sea Cadets?),,Avonmouth Sea Cadets Station Road Shirehampton Bristol,,,,BS11 9XA,United Kingdom,352623,176310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Weston Foodbank,,Lawrence Weston Baptist Church 117 - 119 Long Cross Bristol,,,,BS11 0HL,United Kingdom,353857,177982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol NW Foodbank,,St Andrews Church Avonmouth Road Bristol,,,,BS11 9EN,United Kingdom,351627,178230,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avonmouth Medical Centre,,Avonmouth Medical Centre Collins Street Bristol,,,,BS11 9JJ,United Kingdom,351887,177993,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shirehampton Health Centre,,Shirehampton Health Centre Pembroke Road Shirehampton Bristol,,,,BS11 9SB,United Kingdom,353053,176892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ridingleaze Medical Centre,,The Medical Centre Ridingleaze Bristol,,,,BS11 0QE,United Kingdom,354298,178153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Cross Children's Centre,,Long Cross Childrens Centre Long Cross Bristol,,,,BS11 0LP,United Kingdom,353807,177807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
