NAME,DESCRIPTION,ADDRESS1,ADDRESS2,ADDRESS3,CITY,POSTCODE,COUNTRY,LAT,LNG,VENUE_STATUS,BUSINESS_TYPE,TOILET,WHEELCHAIR_ACCESS,PHONE_PRIMARY,PHONE_SECONDARY,EMAIL_PRIMARY,EMAIL_SECONDARY,WEBSITE,FACEBOOK,TWITTER,OPENING_HOURS,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THU_OPEN,THU_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,PRODUCT_LOCATION,STOCK
The Lounge,,"227-231 North Street, Bedminster, Bristol",,,Bristol,BS3 1JJ,United Kingdom,51.44114173,-2.612137191,Pending,Community toilets,TRUE,TRUE,,,,,,,,TRUE,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,09:00,23:00,TBD,
Broadwalk Shopping Centre,,"Broadwalk, Knowle, Bristol",,,Bristol,BS4 2QU,United Kingdom,51.43441618,-2.568008447,Pending,Community toilets,TRUE,TRUE,,,,,,,,TRUE,08:00,18:30,08:00,18:30,08:00,18:30,08:00,18:30,08:00,19:30,08:00,18:00,10:00,16:00,TBD,
Barton Hill Settlement,,"41-43 Ducie Road,
BS5 0AX",,,Bristol,BS5 0AX,United Kingdom,51.45625085,-2.56367392,Pending,Community toilets,TRUE,TRUE,,,,,,,,TRUE,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,09:00,16:00,,,,,TBD,
A4 Brislington Park and Ride,,"Brislington Park And Ride, Stockwood Road, Brislington, Bristol",,,Bristol,BS4 5ZZ,United Kingdom,51.42790816,-2.537089229,Pending,Community toilets,TRUE,TRUE,,,,,,,,TRUE,06:30,21:30,06:30,21:30,06:30,21:30,06:30,21:30,06:30,21:30,07:30,20:00,,,TBD,
"The Park, Daventry Road",,"Daventry Road, Knowle, Bristol",,,Bristol,BS4 1DQ,United Kingdom,51.42972636,-2.58146112,Pending,Community toilets,TRUE,TRUE,,,,,,,,TRUE,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,09:00,16:00,09:00,16:00,TBD,
JD Weatherspoon - The Robert Fitzharding,,"The Robert Fitzharding, 24 Cannon St, Bedminster,
BS3 1BN",,,Bristol,BS3 1BN,United Kingdom,51.44118488,-2.600867876,Pending,Community toilets,TRUE,TRUE,,,,,,,,TRUE,08:00,24:00:00,08:00,24:00:00,08:00,24:00:00,08:00,24:00:00,08:00,1:00:00,08:00,01:00,08:00,24:00:00,TBD,
Tesco - Golden Hill,,"Golden Hill, Lime Trees Road,
BS6 7XW",,,Bristol,BS6 7XW,United Kingdom,51.48572643,-2.596167907,Pending,Community toilets,TRUE,TRUE,,,,,,,,TRUE,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,10:00,16:00,TBD,
Morrison's - Hartcliffe,,"Hareclive Rd, Petersons Avenue, Hartcliffe",,,Bristol,BS14 0BE,United Kingdom,51.40520215,-2.59963361,Pending,Community toilets,TRUE,TRUE,,,,,,,,TRUE,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,07:00,22:00,TBD,
Redcatch Park Public Conveniences,,"Broad Walk, Knowle, Bristol",,,Bristol,BS4 2RA,United Kingdom,51.43400389,-2.571934048,Pending,Community toilets,TRUE,TRUE,,,,,,,,TRUE,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30,07:00,16:30,TBD,
St George's Bristol,,"Great George Street (off Park Street), Bristol",,,Bristol,BS1 5RR,United Kingdom,51.45422674,-2.603735573,Pending,Community toilets,TRUE,TRUE,,,,,,,,TRUE,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,10:00,18:00,TBD,
