NAME,DESCRIPTION,ADDRESS1,ADDRESS2,ADDRESS3,CITY,POSTCODE,COUNTRY,LAT,LNG,VENUE_STATUS,BUSINESS_TYPE,TOILET,WHEELCHAIR_ACCESS,PHONE_PRIMARY,PHONE_SECONDARY,EMAIL_PRIMARY,EMAIL_SECONDARY,WEBSITE,FACEBOOK,TWITTER,OPENING_HOURS,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THU_OPEN,THU_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,PRODUCT_LOCATION,STOCK
Horfield Foodbank Outlet,,Ebenezer Church,286 Filton Avenue,Horfield Bristol BS7 0BA,Bristol,BS7 0BA,United Kingdom,,,Pending,Foodbank,,,1179791399,,info@northbristol.foodbank.org.uk  ,,https://northbristol.foodbank.org.uk/locations/,,,TRUE,,,,,,,13:00,15:00,,,,,,,,
Filton Foodbank Outlet,,Revive Charity Shop ,555/557 Filton Avenue,Filton,Bristol,BS7 0QH,United Kingdom,,,Pending,Foodbank,,,1179791399,,info@northbristol.foodbank.org.uk  ,,https://northbristol.foodbank.org.uk/locations/,,,TRUE,,,,,13:00,15:00,,,,,,,,,TBD,
Lockleaze Foodbank Outlet,,St Mary's Church,Gainsborough Square,Lockleaze,Bristol,BS7 9XA,United Kingdom,,,Pending,Foodbank,,,1179791399,,info@northbristol.foodbank.org.uk  ,,https://northbristol.foodbank.org.uk/locations/,,,TRUE,10:00,12:00,,,,,,,,,,,,,TBD,
Southmead Foodbank Outlet,,Greenway Centre,Doncaster Road,Southmead,Bristol,BS10 5PY       ,United Kingdom,,,Pending,Foodbank,,,1179791399,,info@northbristol.foodbank.org.uk  ,,https://northbristol.foodbank.org.uk/locations/,,,TRUE,,,,,,,15:00,17:00,,,,,,,TBD,
Patchway Foodbank Outlet,,St Chad's Church,172 Rodway Rd,Patchway,Bristol,BS34 5ED,United Kingdom,,,Pending,Foodbank,,,1179791399,,info@northbristol.foodbank.org.uk  ,,https://northbristol.foodbank.org.uk/locations/,,,TRUE,,,,,,,10:00,12:00,,,,,,,TBD,
Bristol NW Foodbank,,Lawrence Weston Baptist Church,117-119 Long Cross,Henbury,Bristol,BS11 0HL,United Kingdom,,,Pending,Foodbank,,,0117 923 5343,,office@bristolnwfoodbank.org.uk,,http://bristolnwfoodbank.org.uk/,,,TRUE,,,,,,,,,,,,,,,TBD,
Bristol NW Foodbank,,Emmanuel Chapel,Satchfield Crescent,Bristol,Bristol,BS10 7BN,United Kingdom,,,Pending,Foodbank,,,0117 923 5343,,office@bristolnwfoodbank.org.uk,,http://bristolnwfoodbank.org.uk/,,,TRUE,,,,,,,,,,,,,,,,
Bristol NW Foodbank,,St Andrews Church,Avonmouth,Bristol,Bristol,BS11 9FE,United Kingdom,,,Pending,Foodbank,,,0117 923 5343,,office@bristolnwfoodbank.org.uk,,http://bristolnwfoodbank.org.uk/,,,TRUE,,,,,,,,,,,,,,,,
Bristol NW Foodbank,,Hope Chapel Hill,Hope Chapel Hill,Easton,Bristol,BS8 4ND,United Kingdom,,,Pending,Foodbank,,,0117 923 5343,,office@bristolnwfoodbank.org.uk,,http://bristolnwfoodbank.org.uk/,,,TRUE,,,,,,,,,,,,,,,,
East Bristol Foodbank,,Tudor Road Outlet,Tudor Road,Easton,Bristol,BS5 6HX,United Kingdom,,,Pending,Foodbank,,,07584 625082,,ebfoodbank@crisis-centre.org.uk,,http://eastbristol.foodbank.org.uk/,,,TRUE,,,,,,,,,,,,,,,,
East Bristol Foodbank,,Fishponds Baptist Church,Downend Road,,Bristol,BS16 5AS,United Kingdom,,,Pending,Foodbank,,,0117 9653421,,ebfoodbank@crisis-centre.org.uk,,http://eastbristol.foodbank.org.uk/,,,TRUE,,,,,,,,,12:30,14:15,,,,,,
East Bristol Foodbank,,St Marks Road Community Café,St Marks Road,Waters Road,Bristol,BS5 6BW,United Kingdom,,,Pending,Foodbank,,,07584 625082,,ebfoodbank@crisis-centre.org.uk,,http://eastbristol.foodbank.org.uk/,,,TRUE,,,,,,12:30,14:00,,14:00,16:15,,,,,,
East Bristol Foodbank,,Kingswood Outlet,Bourne Christian Centre,Keynsham,Bristol,BS15 8BE,United Kingdom,,,Pending,Foodbank,,,07584 625082,,ebfoodbank@crisis-centre.org.uk,,http://eastbristol.foodbank.org.uk/,,,TRUE,11:00,13:00,,,,,,,,,,,,,,
Keynsham Foodbank,,St Francis Church,Warwick Road,Keynsham,Bristol,BS31 2PW,United Kingdom,,,Pending,Foodbank,,,0117 983 7923,,keynshamfoodbank@gmail.com,,http://keynsham.foodbank.org.uk/,,,TRUE,,,,,,,,,,,,,,,,
Keynsham Foodbank,,Victoria Methodist Church,Keynsham High Street,Horfield,Bristol,BS31 2JA,United Kingdom,,,Pending,Foodbank,,,0117 983 7923,,keynshamfoodbank@gmail.com,,http://keynsham.foodbank.org.uk/,,,TRUE,,,,,,,,,,,,,,,,
Yate and Chipping Sodbury Foodbank,,The Candle,88 Station Road,Yate,Bristol,BS37 4PH,United Kingdom,,,Pending,Foodbank,,,0117 3050969,07512 523343,info@yatechippingsodbury.foodbank.org.uk,,http://yatechippingsodbury.foodbank.org.uk/,,,TRUE,,,,,,,,,,,,,,,,
Yate and Chipping Sodbury Foodbank,,Resound Centre,Blackhorse Road,Thornbury,Bristol,BS16 9BP,United Kingdom,,,Pending,Foodbank,,,0117 305 0969,,info@yatechippingsodbury.foodbank.org.uk,,http://yatechippingsodbury.foodbank.org.uk/,,,TRUE,,,,,,,,,,,,,,,,
Yate and Chipping Sodbury Foodbank,,Thornbury Baptist Church Centre,Gillingstool,,Bristol,BS35 2EG,United Kingdom,,,Pending,Foodbank,,,01454 419118,,info@yatechippingsodbury.foodbank.org.uk,,http://yatechippingsodbury.foodbank.org.uk/,,,TRUE,,,,,,,,,,,,,,,,
Bristol Goddess Temple ,,"The Clocktower Building (First Floor), Tower Road North",Tower Road North,,Bristol,BS30 8XU,United Kingdom,,,Possible / Pending ,Community Support,,,,,goddesstemplebristol@gmail.com,,https://www.facebook.com/pg/BristolGoddessTemple/about/?ref=page_internal,,@GoddessBristol,TRUE,,,,,0.4166666667,0.5,,,,,0.5833333333,0.75,0.5833333333,0.7083333333,,
Bristol Rovers Football Ground Memorial Stadium ,,Filton Avenue,,,Bristol,BS7 0BF,United Kingdom ,,,Possible / Pending ,Football team ,Yes,Yes,0117 909 6648,,davesams@bristolrovers.co.uk.,,https://www.facebook.com/officialbristolrovers/?ref=bookmarks,,@Official_BRFC,TRUE,,17:00,0.375,0.7083333333,0.375,0.7083333333,0.375,0.7083333333,0.375,0.7083333333,0.375,0.7083333333,,,TBC ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBC,
