NAME,DESCRIPTION,ADDRESS1,ADDRESS2,ADDRESS3,CITY,POSTCODE,COUNTRY,LAT,LNG,VENUE_STATUS,BUSINESS_TYPE,TOILET,WHEELCHAIR_ACCESS,PHONE_PRIMARY,PHONE_SECONDARY,EMAIL_PRIMARY,EMAIL_SECONDARY,WEBSITE,FACEBOOK,TWITTER,OPENING_HOURS,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THU_OPEN,THU_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,PRODUCT_LOCATION,STOCK
10-12 CONISTON ROAD,,PATCHWAY,,,BRISTOL,BS12 5JL,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
11 Chiphouse Rd,,11 Chiphouse Road,,,Bristol,BS15 4TR,,51.4726194,-2.498018,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
129 Greville Rd,,129 Greville Road,,,Bristol,BS3 1LE,,51.442107,-2.6068942,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
14 Overnhill Rd,,14 Overnhill Road,,,Bristol,BS16 5DN,,51.4822786,-2.5130076,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
168 Locking Rd,,168 Locking Road,,,Weston-super-Mare,BS23 3HG,,51.3461039,-2.9563106,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
18 Four Acre Rd,,18 Four Acre Road,,,Bristol,BS16 6PG,,51.4989251,-2.4997089,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
"19A, Hawkfield Way",,Osprey Court,Hawkfield Way,,Bristol,BS14 0BB,,51.4116174,-2.5929665,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
209 Wells Rd,,209 Wells Road,,,Bristol,BS4 2DF,,51.4387928,-2.5727096,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
232 Milton Rd,,232 Milton Road,,,Weston-super-Mare,BS22 8AG,,51.3527707,-2.9492302,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
233 Wells Rd,,233 Wells Road,,,Bristol,BS4 2DF,,51.438018,-2.5715029,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
GP Care,,Aztec West,,,Bristol,BS32 4AQ,,51.5452155,-2.5715992,,,,,0333 332 2100,,,,,,,True,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,08:00,18:00,,,,,,
25 B4054,,25 B4054,,,Bristol,BS6,,51.4713421,-2.5958748,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
30 Inns Court Green,,30 Inns Court Green,,,Bristol,BS4 1TF,,51.420643,-2.5938664,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
326,,Priory Surgery,326 Wells Road,,Bristol,BS4 2QJ,,51.4343045,-2.5660789,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
43 Nevil Rd,,43 Nevil Road,,,Bristol,BS7 9EG,,51.4785546,-2.5870713,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
Knowle West Health Park Company,,5 Knowle West Health Park,Downton Road,,Bristol,BS4 1WH,,51.4287537,-2.5962626,,,,,0117 377 2255,,,,,,,False,,,,,,,,,,,,,,,,
52 Clifton Down Rd,,52 Clifton Down Road,,,Bristol,BS8 4AH,,51.4572274,-2.6202435,,,,,,,,,,,,False,,,,,,,,,,,,,,,,
