NAME,DESCRIPTION,ADDRESS1,ADDRESS2,ADDRESS3,CITY,POSTCODE,COUNTRY,LAT,LNG,VENUE_STATUS,BUSINESS_TYPE,TOILET,WHEELCHAIR_ACCESS,PHONE_PRIMARY,PHONE_SECONDARY,EMAIL_PRIMARY,EMAIL_SECONDARY,WEBSITE,FACEBOOK,TWITTER,OPENING_HOURS,MON_OPEN,MON_CLOSE,TUE_OPEN,TUE_CLOSE,WED_OPEN,WED_CLOSE,THU_OPEN,THU_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,PRODUCT_LOCATION,STOCK
10-12 CONISTON ROAD,,PATCHWAY,,,BRISTOL,BS12 5JL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 CHIPHOUSE ROAD,,KINGSWOOD,,,BRISTOL,BS15 4TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129 GREVILLE ROAD,,BEDMINSTER,,,BRISTOL,BS3 1LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 OVERNHILL ROAD,,STAPLE HILL,,,BRISTOL,BS16 5DN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168 LOCKING ROAD,,WESTON SUPER MARE,,,BRISTOL,BS23 3HQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 FOURACRE ROAD,,DOWNEND,,,BRISTOL,BS16 6PG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19A OSPREY COURT,,HAWKFIELD WAY,,,BRISTOL,BS14 0BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209 WELLS ROAD,,KNOWLE,,,BRISTOL,BS4 2DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232 MILTON ROAD,,WESTON-SUPER-MARE,,,BRISTOL,BS22 8AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233 WELLS ROAD,,KNOWLE,,,BRISTOL,BS4 2DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430/2440 THE QUADRANT,,AZTEC WEST,,,BRISTOL,BS32 4AQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 CRANBROOK ROAD,,REDLAND,,,BRISTOL,BS6 7BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 INNS COURT GREEN,,KNOWLE,,,BRISTOL,BS4 1TF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326 WELLS ROAD,,KNOWLE,,,BRISTOL,BS4 2QJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43 NEVIL ROAD,,BISHOPSTON,,,BRISTOL,BS7 9EG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 KNOWLE WEST HEALTH PARK,,"DOWNTON ROAD, KNOWLE",,,BRISTOL,BS4 1WH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 CLIFTON DOWN ROAD,,CLIFTON,,,BRISTOL,BS8 4AH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521 FILTON AVENUE,,NORTHVILLE,,,BRISTOL,BS7 0LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58 PEMBROKE ROAD,,,,,BRISTOL,BS8 2DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58 PEMBROKE ROAD,,CLIFTON,,,BRISTOL,BS8 3DT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-61 STOKES CROFT,,,,,BRISTOL,BS1 3QP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590 WELLS ROAD,,KNOWLE,,,BRISTOL,BS14 9BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5TH FLOOR, SOUTH PLAZA",,MARLBOROUGH STREET,,,BRISTOL,BS1 3NX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR BALLOON SURGERY,,"KENN ROAD, ST.GEORGE",,,BRISTOL,BS5 7PD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALMONDSBURY SURGERY,,"SUNDAYS HILL,ALMONDSBURY",,,BRISTOL,BS32 4DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVONMOUTH MEDICAL CENTRE,,"COLLINS STREET, AVONMOUTH",,,BRISTOL,BS11 9JJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWP NHS TRUST,,59-61 STOKES CROFT,,,BRISTOL,BS1 3QP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BACKWELL MEDICAL CENTRE,,"15 WEST TOWN RD, BACKWELL",,,BRISTOL,BS48 3HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDMINSTER FAMILY PRACT,,"REGENT ROAD, BEDMINSTER",,,BRISTOL,BS3 4AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIRCHWOOD MED PRACTICE,,"BROOKLEA HC, WICK ROAD",,,BRISTOL,BS4 4HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOTS THE CHEMISTS,,59 BROADMEAD,,,BRISTOL,BS1 3EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY STOKE SURGERY,,"BROOK WAY, BRADLEY STOKE",,,BRISTOL,BS32 9DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIDEWELL POLICE TEAM,,1 BRIDEWELL STREET,,,BRISTOL,BS1 2AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADMEAD MEDICAL CENTRE,,59 BROADMEAD,,,BRISTOL,BS1 3EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
